VIC,1117,Rise Up Australia Party,A,1,24062,A,NALLIAH,Daniel,1,RUA,Rise Up Australia Party,1
VIC,1117,Rise Up Australia Party,A,1,24063,A,CRESTANI,Rosalie,2,RUA,Rise Up Australia Party,2
VIC,1117,Rise Up Australia Party,A,1,24672,B,WHELAN,Peter William,1,LDP,Liberal Democrats,66
VIC,1117,Rise Up Australia Party,A,1,24678,B,WILMS,Tim,2,LDP,Liberal Democrats,67
VIC,1117,Rise Up Australia Party,A,1,24469,C,TOWNSEND,Dale Phillip,1,ON,One Nation,9
VIC,1117,Rise Up Australia Party,A,1,24477,C,TOWNSEND,Rosalyn Lee,2,ON,One Nation,10
VIC,1117,Rise Up Australia Party,A,1,24630,D,TAYLOR,Lloyd,1,SOL,Senator Online (Internet Voting Bills/Issues),48
VIC,1117,Rise Up Australia Party,A,1,24634,D,SMITH,Tony,2,SOL,Senator Online (Internet Voting Bills/Issues),49
VIC,1117,Rise Up Australia Party,A,1,23555,E,FIFIELD,Mitch,1,LP,Liberal,31
VIC,1117,Rise Up Australia Party,A,1,23556,E,RYAN,Scott,2,LP,Liberal,32
VIC,1117,Rise Up Australia Party,A,1,23558,E,KROGER,Helen,3,LP,Liberal,33
VIC,1117,Rise Up Australia Party,A,1,23562,E,CORBOY,Martin Louis,4,NP,The Nationals,34
VIC,1117,Rise Up Australia Party,A,1,24697,F,RILEY,Matt,1,HMP,Help End Marijuana Prohibition (HEMP) Party,72
VIC,1117,Rise Up Australia Party,A,1,24699,F,FLETCHER,Ryan William,2,HMP,Help End Marijuana Prohibition (HEMP) Party,73
VIC,1117,Rise Up Australia Party,A,1,25038,G,FENN,Ashley,1,FFP,Family First,23
VIC,1117,Rise Up Australia Party,A,1,25039,G,MORRIS,Trudie,2,FFP,Family First,24
VIC,1117,Rise Up Australia Party,A,1,23687,H,JONES,Andrew,1,CYA,Country Alliance,64
VIC,1117,Rise Up Australia Party,A,1,23688,H,KERR,Garry,2,CYA,Country Alliance,65
VIC,1117,Rise Up Australia Party,A,1,23572,I,PERKINS,John L,1,SPA,Secular Party of Australia,79
VIC,1117,Rise Up Australia Party,A,1,23573,I,SCEATS,Rosemary Elizabeth,2,SPA,Secular Party of Australia,80
VIC,1117,Rise Up Australia Party,A,1,23578,J,DAWSON,Chris,1,TCS,No Carbon Tax Climate Sceptics,7
VIC,1117,Rise Up Australia Party,A,1,23579,J,RODDA,John,2,TCS,No Carbon Tax Climate Sceptics,8
VIC,1117,Rise Up Australia Party,A,1,23684,K,RIGONI,Maria Marcia,1,BRP,Bank Reform Party,3
VIC,1117,Rise Up Australia Party,A,1,23686,K,RIGONI,Paul,2,BRP,Bank Reform Party,4
VIC,1117,Rise Up Australia Party,A,1,23525,L,HAYES,Clifford,1,SPP,Stable Population Party,40
VIC,1117,Rise Up Australia Party,A,1,23530,L,QUIRK,Jill,2,SPP,Stable Population Party,41
VIC,1117,Rise Up Australia Party,A,1,24711,M,SALT,Abe,1,SMK,Smokers Rights,68
VIC,1117,Rise Up Australia Party,A,1,24714,M,BEREGSZASZI,Janos,2,SMK,Smokers Rights,69
VIC,1117,Rise Up Australia Party,A,1,23769,N,ZAMMIT,Joe,1,AFLP,Australian Fishing and Lifestyle Party,25
VIC,1117,Rise Up Australia Party,A,1,23773,N,ABELA,Richard,2,AFLP,Australian Fishing and Lifestyle Party,26
VIC,1117,Rise Up Australia Party,A,1,23283,O,MALONEY,Terry,1,ASP,Shooters and Fishers,29
VIC,1117,Rise Up Australia Party,A,1,23284,O,MALCOLM,Steve,2,ASP,Shooters and Fishers,30
VIC,1117,Rise Up Australia Party,A,1,24424,P,EVANS,Darren,1,BAP,Building Australia Party,19
VIC,1117,Rise Up Australia Party,A,1,24427,P,WHITE,Samuel,2,BAP,Building Australia Party,20
VIC,1117,Rise Up Australia Party,A,1,24374,Q,SHMUEL,Immanuel,1,VCE,Australian Voice Party,13
VIC,1117,Rise Up Australia Party,A,1,24380,Q,HUGHES,Vern,2,VCE,Australian Voice Party,14
VIC,1117,Rise Up Australia Party,A,1,23863,R,SHAW,Samantha,1,AIN,Australian Independents,17
VIC,1117,Rise Up Australia Party,A,1,23871,R,WOOD,Yvonne,2,AIN,Australian Independents,18
VIC,1117,Rise Up Australia Party,A,1,23266,S,RICE,Janet,1,GRN,The Greens,92
VIC,1117,Rise Up Australia Party,A,1,23272,S,McCARTHY,Trent Mark,2,GRN,The Greens,93
VIC,1117,Rise Up Australia Party,A,1,23275,S,TRUONG,Thi Viet Huong,3,GRN,The Greens,94
VIC,1117,Rise Up Australia Party,A,1,23276,S,CHRISTOE,Ian J,4,GRN,The Greens,95
VIC,1117,Rise Up Australia Party,A,1,23277,S,SEKHON,Gurm,5,GRN,The Greens,96
VIC,1117,Rise Up Australia Party,A,1,23282,S,HUMPHREYS,Robert,6,GRN,The Greens,97
VIC,1117,Rise Up Australia Party,A,1,24880,T,TOSCANO,Joseph,1,,,85
VIC,1117,Rise Up Australia Party,A,1,24881,T,MATTHEWS,Beth,2,,,86
VIC,1117,Rise Up Australia Party,A,1,24779,U,THORROWGOOD,Roger Hugh,1,SCSG,Stop CSG,81
VIC,1117,Rise Up Australia Party,A,1,24781,U,VAN ROSMALEN,Adele,2,SCSG,Stop CSG,82
VIC,1117,Rise Up Australia Party,A,1,24156,V,DANIELI,Robert,1,KAP,Katter's Australian Party,44
VIC,1117,Rise Up Australia Party,A,1,24175,V,COSTABILE,David,2,KAP,Katter's Australian Party,45
VIC,1117,Rise Up Australia Party,A,1,23630,W,MICHAEL,Barry,1,PUP,Palmer United Party,35
VIC,1117,Rise Up Australia Party,A,1,23635,W,HAWKINS,Douglas James,2,PUP,Palmer United Party,36
VIC,1117,Rise Up Australia Party,A,1,23641,W,PALMAN,Penny Maree,3,PUP,Palmer United Party,37
VIC,1117,Rise Up Australia Party,A,1,24706,X,CONSANDINE,Peter,1,RPA,The Australian Republicans,70
VIC,1117,Rise Up Australia Party,A,1,24708,X,PORTORS,Clinton,2,RPA,The Australian Republicans,71
VIC,1117,Rise Up Australia Party,A,1,23523,Y,POON,Bruce,1,AJP,Animal Justice Party,46
VIC,1117,Rise Up Australia Party,A,1,23527,Y,DAVISON,Sarah,2,AJP,Animal Justice Party,47
