NSW,932,Socialist Alliance,A,1,21446,A,EVANS,Rachel,1,SAL,Socialist Alliance,1
NSW,932,Socialist Alliance,A,1,21449,A,ISKANDER,Soubhi,2,SAL,Socialist Alliance,2
NSW,932,Socialist Alliance,A,1,22023,B,HODGES,Robert,1,,,63
NSW,932,Socialist Alliance,A,1,22024,B,FRIER,Bob,2,,,64
NSW,932,Socialist Alliance,A,1,21904,C,ROBINSON,Tony,1,,,65
NSW,932,Socialist Alliance,A,1,21907,C,SELBY,Noel,2,,,66
NSW,932,Socialist Alliance,A,1,21429,D,HODGES,Darrin,1,,,83
NSW,932,Socialist Alliance,A,1,21430,D,FOLKES,Nick,2,,,84
NSW,932,Socialist Alliance,A,1,21798,E,BROWN,Ray,1,BAP,Building Australia,47
NSW,932,Socialist Alliance,A,1,21799,E,O'DONNELL,Michael,2,BAP,Building Australia,48
NSW,932,Socialist Alliance,A,1,21465,F,BAS,Wes,1,SOL,Senator On-Line,28
NSW,932,Socialist Alliance,A,1,21470,F,ROACH,Brianna,2,SOL,Senator On-Line,29
NSW,932,Socialist Alliance,A,1,21787,G,LAWLER,Geoff,1,CAL,Communist,3
NSW,932,Socialist Alliance,A,1,21789,G,KELLAWAY,Brenda Anne,2,CAL,Communist,4
NSW,932,Socialist Alliance,A,1,22021,H,BLOOM,Nadia,1,,,67
NSW,932,Socialist Alliance,A,1,22022,H,IRELAND,Bede,2,,,68
NSW,932,Socialist Alliance,A,1,21031,I,BUTLER,Robert H,1,CEC,Citizens Electoral Council of Australia,56
NSW,932,Socialist Alliance,A,1,21037,I,McCAFFREY,Ian David,2,CEC,Citizens Electoral Council of Australia,57
NSW,932,Socialist Alliance,A,1,21733,J,CLANCY,Fiona,1,DEM,Australian Democrats,26
NSW,932,Socialist Alliance,A,1,21736,J,MITCHELL,Jen,2,DEM,Australian Democrats,27
NSW,932,Socialist Alliance,A,1,21714,K,SAMPSON,Meg,1,,,69
NSW,932,Socialist Alliance,A,1,21718,K,HINCHCLIFFE,J,2,,,70
NSW,932,Socialist Alliance,A,1,22019,L,BELGRAVE,Leon Adrian,1,,,71
NSW,932,Socialist Alliance,A,1,22020,L,BEREGSZASZI,Janos,2,,,72
NSW,932,Socialist Alliance,A,1,21127,M,KOUTALIANOS,Bill,1,TCS,The Climate Sceptics,49
NSW,932,Socialist Alliance,A,1,21134,M,BROWN,Geoffrey,2,TCS,The Climate Sceptics,50
NSW,932,Socialist Alliance,A,1,21229,N,BRYCE,Ian,1,SPA,Secular Party of Australia,24
NSW,932,Socialist Alliance,A,1,21233,N,WARREN,Lyle Richard,2,SPA,Secular Party of Australia,25
NSW,932,Socialist Alliance,A,1,21451,O,MUIRHEAD,Jim Gerard,1,ASP,Shooters and Fishers,41
NSW,932,Socialist Alliance,A,1,21455,O,McGLASHAN,Alistair David,2,ASP,Shooters and Fishers,42
NSW,932,Socialist Alliance,A,1,22015,P,McCAFFREY,Simon Thomas,1,DLP,Democratic Labor Party (DLP) of Australia,43
NSW,932,Socialist Alliance,A,1,22016,P,CULLEN,Martin,2,DLP,Democratic Labor Party (DLP) of Australia,44
NSW,932,Socialist Alliance,A,1,20841,Q,LEISHMAN,Marianne,1,ASXP,Australian Sex Party,11
NSW,932,Socialist Alliance,A,1,20947,Q,CAMPBELL,Huw,2,ASXP,Australian Sex Party,12
NSW,932,Socialist Alliance,A,1,20949,Q,ZIMMERMAN,Larissa,3,ASXP,Australian Sex Party,13
NSW,932,Socialist Alliance,A,1,21993,R,BARKER,David,1,,,73
NSW,932,Socialist Alliance,A,1,21994,R,ZUREIK,S G,2,,,74
NSW,932,Socialist Alliance,A,1,20978,S,BEAMS,Nick,1,SEP,Socialist Equality Party,22
NSW,932,Socialist Alliance,A,1,20981,S,ZABALA,Gabriela,2,SEP,Socialist Equality Party,23
NSW,932,Socialist Alliance,A,1,21908,T,BOURKE,William,1,,,75
NSW,932,Socialist Alliance,A,1,21910,T,O'CONNOR,Mark,2,,,76
NSW,932,Socialist Alliance,A,1,21413,U,THOMPSON,Andy,1,NCP,Non-Custodial Parents Party (Equal Parenting),45
NSW,932,Socialist Alliance,A,1,21420,U,FOSTER,Roland,2,NCP,Non-Custodial Parents Party (Equal Parenting),46
NSW,932,Socialist Alliance,A,1,21178,V,SWANE,Greg,1,FFP,Family First,51
NSW,932,Socialist Alliance,A,1,21182,V,LAMB,Phil,2,FFP,Family First,52
NSW,932,Socialist Alliance,A,1,21012,W,FAULKNER,John,1,ALP,Labor,14
NSW,932,Socialist Alliance,A,1,21016,W,THISTLETHWAITE,Matthew,2,ALP,Labor,15
NSW,932,Socialist Alliance,A,1,21018,W,HUTCHINS,Steve,3,ALP,Labor,16
NSW,932,Socialist Alliance,A,1,21020,W,MURNAIN,Anne,4,ALP,Labor,17
NSW,932,Socialist Alliance,A,1,21022,W,SEATON,Fiona,5,ALP,Labor,18
NSW,932,Socialist Alliance,A,1,21025,W,McDERMOTT,Hugh,6,ALP,Labor,19
NSW,932,Socialist Alliance,A,1,21995,X,STEFANAC,Jennifer,1,,,77
NSW,932,Socialist Alliance,A,1,21997,X,COOLEY,Tucky Tania,2,,,78
NSW,932,Socialist Alliance,A,1,21984,Y,CARTER,Marylou,1,CA,Carers Alliance,20
NSW,932,Socialist Alliance,A,1,21986,Y,BUCKWALTER,Maree,2,CA,Carers Alliance,21
NSW,932,Socialist Alliance,A,1,20990,Z,GREEN,Paul,1,CDP,Christian Democratic Party (Fred Nile Group),53
NSW,932,Socialist Alliance,A,1,20992,Z,PEEBLES,Robyn,2,CDP,Christian Democratic Party (Fred Nile Group),54
NSW,932,Socialist Alliance,A,1,20994,Z,NILE,Elaine,3,CDP,Christian Democratic Party (Fred Nile Group),55
NSW,932,Socialist Alliance,A,1,21762,AA,FIERRAVANTI-WELLS,Concetta,1,LP,Liberal,32
NSW,932,Socialist Alliance,A,1,21766,AA,HEFFERNAN,William,2,LP,Liberal,33
NSW,932,Socialist Alliance,A,1,21768,AA,NASH,Fiona,3,NP,The Nationals,34
NSW,932,Socialist Alliance,A,1,21771,AA,HUGHES,Hollie,4,LP,Liberal,35
